image_link,group_id,entity_name,entity_value,tessaract_values,preprocessed
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,100%NATUR,100natur
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,GEPRAGTESDesignedinLIZENZIERTEUNDGESCHUTZTEDESIGNS,gepragtedeignedinlienierteundgechuttedeign
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"ServingSize:1Tablet(0.709g)|Eachservingcontains(Approx.Values):IngredientOty./Serving*PHOSPHOcomplex®Silybin(Sillybummarianum)200mgDandelion(Taraxacumofficinale)leafextract-10:1100mgKutki(Picrorhizakurroa)rhizomeextract-0.5%Bitters50mgKasani(Cichoriumintybus)seedextract-1%Bitters25mgPunarnava(Boerhaviadiffusa)rootextract-0.07%alkaloids25mgBhuiamla(Phyllanthusamarus)WPextract-0.5%,Bitters25mgAmla(Phyllanthusemblica)fruitextract-10%Tannins25mgLicorice(Glycyrrhizaglabra)rootextract-5%Glycyrrhizin25mgVitaminE10mgPipernigrumfruitextract—95%PiperineSmgNutrientsQty./ServingEnergy3.04kcalCarbohydrate051g(Sugars)02gProtein0.049Fat0.09g""ZRDAvaluesestablishedasperICMR2010forsedentarylifestyle-Men.**ZRDAnotestablishedbyICMR",ervingie1tablet0709geachervingcontainapprovalueingredientotervingphophocompleilbinillbummarianum200mgdandeliontaraacumofficinaleleafetract101100mgkutkipicrorhiakurroarhiomeetract05bitter50mgkaanicichoriumintbueedetract1bitter25mgpunarnavaboerhaviadiffuarootetract007alkaloid25mgbhuiamlaphllanthuamaruwpetract05bitter25mgamlaphllanthuemblicafruitetract10tannin25mglicoriceglcrrhiaglabrarootetract5glcrrhiin25mgvitamine10mgpipernigrumfruitetract—95piperinemgnutrientqtervingenerg304kcalcarbohdrate051gugar02gprotein0049fat009grdavalueetablihedapericmr2010foredentarlifetlemenrdanotetablihedbicmr
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,,
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,HIGHSTRENGTHPSYLLIUMHUSK,hightrengthplliumhuk
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,"¢Naturally-SourcedPsyllium—_*Highstrength1400mgperservingTaahseoLaiessPLANTAGO°PLANTSEEDsahoy365Vecaul)|a*SuitableforVegans&Vegetarians,Horbaach",naturallourcedpllium—hightrength1400mgperervingtaaheolaieplantagoplanteedaho365vecaulauitableforveganvegetarianhorbaach
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"Directions:Foradults,taketwo(2)vegancapsulesdaily,preferablywithameal.Donotexceedstateddose.NutritionInformationTypicallyPerDailyDoseHIGHSTeeeePsylliumHuskPowder1400mg_PSYLLIUMHUSKPLANTAGOOVATAPLANTSEEDSIngredients:PsylliumHuskPowder,CapsuleShell(Hy-droxypropylmethylcellulose),Anti-CakingAgents(Mag-nesiumSaltsofFattyAcids,SiliconDioxide).MaycontainSesameSeeds&Mustard.Forallergens,seetheingredientsinbold.Notice:Takethisproductwith220mloffluids.Takingthisproductwithoutadequatefluidmaycausethepos-sibilityofchoking.Donotusethisproductifyouhavedifficultyswallowing.Ifyouexperiencechestpain,vom-itingordifficultyinswallowingorbreathingaftertakingthisproduct,seekimmediatemedicalattention.Donottakebeforesleeping.Fibreproductscanaffecttheab-sorptionofmanymedications.Donottakethisproductwithin1.5hoursoftakingmedication.FreeFrom:ArtificialColour,ArtificialFlavour,ArtificialSweetener,Preservatives.SUITABLEFORVEGETARIANS&VEGANSHU16790C36iaHorbaach",directionforadulttaketwo2vegancapuledailpreferablwithamealdonoteceedtateddoenutritioninformationtpicallperdaildoehighteeeeplliumhukpowder1400mgplliumhukplantagoovataplanteedingredientplliumhukpowdercapulehellhdroproplmethlcelluloeanticakingagentmagneiumaltoffattacidilicondioidemacontaineameeedmutardforallergeneetheingredientinboldnoticetakethiproductwith220mloffluidtakingthiproductwithoutadequatefluidmacauethepoibilitofchokingdonotuethiproductifouhavedifficultwallowingifoueperiencechetpainvomitingordifficultinwallowingorbreathingaftertakingthiproducteekimmediatemedicalattentiondonottakebeforeleepingfibreproductcanaffecttheaborptionofmanmedicationdonottakethiproductwithin15houroftakingmedicationfreefromartificialcolourartificialflavourartificialweetenerpreervativeuitableforvegetarianveganhu16790c36iahorbaach
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,©)VEGANWOWHEATFREESOYpsya:&(i)yDAIRY|365°ECEqinaéFREEFROMPRESERVATIVESHorbaach,veganwowheatfreeopaidair365eceqinaéfreefrompreervativehorbaach
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,Horbaach100%HIGHESTQUALITYHIGHSTRENGTHpSYLLIUMHUSKPLANTAGOOVATAPLANTSEEDSPeHorbaach,horbaach100highetqualithightrengthplliumhukplantagoovataplanteedpehorbaach
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEWLOOK.SAMENea»[EeQUALITY.viluMAcaPSYLLIUMAGim|HUSKPLANTSEEDShY/\4FOODSUPPLEMENTwo)ODcapPsuLesa365VEGAN~—900carsuLES_Horbaach,newlookameneaeequalitvilumacaplliumagimhukplanteedh4foodupplementwoodcappulea365vegan—900carulehorbaach
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,"GrobeKapazitat,Tiragfahigkeitbiszu30KG4mDasMaterialistca.5mmdickunddieFugensindverstarkt,sodassWessehrstarkist.Tragfahigkeitbiszu30KG,kanneineVielzahlvonGegenstanden;\—%oJoii3Sae.sof\57bex©)39]aufnehmen._—A",grobekapaitattiragfahigkeitbiu30kg4mdamaterialitca5mmdickunddiefugenindvertarktodaweehrtarkittragfahigkeitbiu30kgkanneinevielahlvongegentanden—ooii3aeof57be39aufnehmen—a
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,)WILDFANG35cm14cm15cm16cm<10kg10-5kg15-25kg2545kg>45kg,wildfang35cm14cm15cm16cm10kg105kg1525kg2545kg45kg
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,".‘f5éjHelpsin*)“—esteoarthritisHelpsinmeedigestion“Reduces.inflammation]5mefHJAnti-bacterialproperties,HelpsinPCOS",‘f5éhelpin“—eteoarthritihelpinmeedigetion“reduceinflammation5mefhantibacterialpropertiehelpinpco
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,PROMOTES—™DIGESTIVEHEALTHHIGHINANTIOXIDANTS+COMBATSDISEASES,promote—digetivehealthhighinantioidantcombatdieae
